结构,Sn含量,温度,模拟序号,每原子能量,相对能量,每原子标准差
Cv-1,8,200,0,-5043.949743444445,0.0,0.014637769444444445
Cv-1,8,250,1,-5043.831678371666,0.11806507277833589,0.01835759
Cv-1,8,300,2,-5043.715135493334,0.2346079511107746,0.02296283166666667
Cv-1,8,350,3,-5043.630255595,0.3194878494450677,0.036261916666666665
Cv-1,8,400,4,-5043.480231884444,0.46951156000068295,0.030309162777777773
Cv-1,8,450,5,-5043.397853778333,0.5518896661114923,0.04208843388888889
Cv-1,8,500,6,-5043.290556810555,0.6591866338894761,0.039412607777777775
Cv-1,8,550,7,-5043.165874355,0.7838690894450338,0.044421389444444445
Cv-1,8,600,8,-5043.037295037778,0.9124484066669538,0.04633664277777778
Cv-1,8,650,9,-5042.929284062222,1.0204593822227253,0.04924636833333333
Cv-1,8,700,10,-5042.8541522411115,1.0955912033332424,0.06471412944444445
Cv-1,8,750,11,-5042.701690063333,1.2480533811112764,0.05797168444444445
Cv-1,8,800,12,-5042.553673965555,1.3960694788893306,0.06132251722222223
Cv-1,8,850,13,-5042.436228159445,1.5135152849998121,0.06561260277777778
Cv-1,8,900,14,-5042.339116631667,1.6106268127778094,0.07092385388888889
Cv-1,8,950,15,-5042.2089382155555,1.7408052288892577,0.07392855333333333
Cv-1,8,1000,16,-5042.092758028333,1.8569854161114563,0.07773171055555556
Cv-1,8,1050,17,-5041.954921393333,1.9948220511114414,0.08235422166666667
Cv-1,8,1100,18,-5041.820018773334,2.1297246711110347,0.08389340944444444
Cv-2,8,200,0,-5043.949878264444,0.0,0.014548471666666667
Cv-2,8,250,1,-5043.832074139445,0.11780412499956583,0.018292943333333332
Cv-2,8,300,2,-5043.716616815556,0.233261448887788,0.02253881611111111
Cv-2,8,350,3,-5043.597330291666,0.3525479727777565,0.02698012722222222
Cv-2,8,400,4,-5043.499192463333,0.4506858011109216,0.031221147777777777
Cv-2,8,450,5,-5043.389306288333,0.5605719761115324,0.04127398555555555
Cv-2,8,500,6,-5043.285517557222,0.6643607072219311,0.039102615
Cv-2,8,550,7,-5043.1350457983335,0.8148324661106017,0.04455626
Cv-2,8,600,8,-5043.038188168333,0.9116900961107604,0.045738415000000004
Cv-2,8,650,9,-5042.921377858333,1.0285004061115615,0.049762146666666666
Cv-2,8,700,10,-5042.797554888889,1.15232337555517,0.05760115166666667
Cv-2,8,750,11,-5042.69450889889,1.255369365554543,0.059477737777777775
Cv-2,8,800,12,-5042.603011390555,1.3468668738887573,0.06383931999999999
Cv-2,8,850,13,-5042.448932423333,1.5009458411113883,0.06540229944444445
Cv-2,8,900,14,-5042.320715887222,1.629162377222201,0.07733376555555554
Cv-2,8,950,15,-5042.210373844445,1.7395044199993208,0.073434985
Cv-2,8,1000,16,-5042.101443654445,1.8484346099994582,0.07586576111111111
Cv-2,8,1050,17,-5041.984117847777,1.9657604166668534,0.08471448888888888
Cv-2,8,1100,18,-5041.802475870555,2.147402393889024,0.0839421661111111
Cv-3,8,200,0,-5043.950514379444,0.0,0.014659283333333335
Cv-3,8,250,1,-5043.831091036667,0.11942334277682676,0.01821752888888889
Cv-3,8,300,2,-5043.718030995556,0.2324833838883933,0.022594953333333334
Cv-3,8,350,3,-5043.5964093777775,0.35410500166653947,0.026196304444444443
Cv-3,8,400,4,-5043.483595774444,0.4669186049995915,0.029954119444444444
Cv-3,8,450,5,-5043.3964099566665,0.5541044227775274,0.03792878444444445
Cv-3,8,500,6,-5043.2744835994445,0.6760307799995644,0.040871015
Cv-3,8,550,7,-5043.166142064444,0.7843723149999278,0.04846208388888889
Cv-3,8,600,8,-5043.039228617778,0.9112857616664769,0.04605835722222222
Cv-3,8,650,9,-5042.922299408889,1.028214970555382,0.04974557888888889
Cv-3,8,700,10,-5042.811311806112,1.1392025733321134,0.05474564444444444
Cv-3,8,750,11,-5042.693996685555,1.2565176938887817,0.059212721111111116
Cv-3,8,800,12,-5042.579971752778,1.3705426266660652,0.061583382222222226
Cv-3,8,850,13,-5042.4341745677775,1.516339811666512,0.0673987338888889
Cv-3,8,900,14,-5042.324902612222,1.6256117672219261,0.07188926777777777
Cv-3,8,950,15,-5042.211752309445,1.7387620699992112,0.07280015444444445
Cv-3,8,1000,16,-5042.093182513334,1.857331866110144,0.07525599777777778
Cv-3,8,1050,17,-5041.969977267222,1.9805371122220095,0.08090680666666666
Cv-3,8,1100,18,-5041.839677688334,2.1108366911103076,0.08372939888888889
Cv-4,8,200,0,-5043.950656731667,0.0,0.014604978333333333
Cv-4,8,250,1,-5043.831114772777,0.11954195888938557,0.01827206333333333
Cv-4,8,300,2,-5043.714125195,0.2365315366669165,0.021849894999999998
Cv-4,8,350,3,-5043.594843267778,0.35581346388880775,0.025482924444444444
Cv-4,8,400,4,-5043.518549837778,0.4321068938888857,0.036124766111111116
Cv-4,8,450,5,-5043.407378492222,0.5432782394445894,0.03627752388888889
Cv-4,8,500,6,-5043.289092445555,0.6615642861115703,0.04461287277777778
Cv-4,8,550,7,-5043.1401031294445,0.8105536022221713,0.043093655555555554
Cv-4,8,600,8,-5043.034195475,0.91646125666648,0.04610310277777777
Cv-4,8,650,9,-5042.916659698889,1.0339970327777337,0.05029099944444445
Cv-4,8,700,10,-5042.821872251111,1.1287844805556233,0.057329387777777775
Cv-4,8,750,11,-5042.694066464999,1.2565902666674447,0.05772829388888889
Cv-4,8,800,12,-5042.555092680555,1.3955640511112506,0.06198610166666666
Cv-4,8,850,13,-5042.476348926111,1.474307805555327,0.06681559166666667
Cv-4,8,900,14,-5042.323970741667,1.6266859899997144,0.06988244333333332
Cv-4,8,950,15,-5042.204568685555,1.7460880461112538,0.07210417722222223
Cv-4,8,1000,16,-5042.069742626667,1.880914104999647,0.07869842611111111
Cv-4,8,1050,17,-5041.950085803333,2.000570928333218,0.08548749500000001
Cv-4,8,1100,18,-5041.847761118333,2.102895613333203,0.08348193666666666
Cv-5,8,200,0,-5043.950552575556,0.0,0.014558174444444445
Cv-5,8,250,1,-5043.832975907778,0.11757666777793929,0.018120376666666667
Cv-5,8,300,2,-5043.72727094,0.22328163555539504,0.023397604444444445
Cv-5,8,350,3,-5043.611181741111,0.3393708344447077,0.026945026666666667
Cv-5,8,400,4,-5043.500298821667,0.4502537538892284,0.03532351555555555
Cv-5,8,450,5,-5043.385469197222,0.5650833783338385,0.03508223388888889
Cv-5,8,500,6,-5043.266258143889,0.6842944316667854,0.03814108055555556
Cv-5,8,550,7,-5043.195736293888,0.7548162816674449,0.05727881944444445
Cv-5,8,600,8,-5043.037463178889,0.9130893966666918,0.046580620555555556
Cv-5,8,650,9,-5042.9225520244445,1.0280005511112904,0.050263250555555555
Cv-5,8,700,10,-5042.832800895,1.117751680555557,0.05522959222222222
Cv-5,8,750,11,-5042.686445415,1.2641071605557954,0.05724881166666667
Cv-5,8,800,12,-5042.553106951666,1.3974456238893254,0.06133515055555556
Cv-5,8,850,13,-5042.462304958333,1.4882476172224415,0.06537029888888889
Cv-5,8,900,14,-5042.336038029444,1.6145145461114225,0.07489324777777778
Cv-5,8,950,15,-5042.189003534444,1.7615490411117207,0.07395246388888889
Cv-5,8,1000,16,-5042.092249327222,1.8583032483338684,0.075528955
Cv-5,8,1050,17,-5041.9587618216665,1.9917907538892905,0.08322198944444444
Cv-5,8,1100,18,-5041.826312135556,2.124240439999994,0.08513140777777778
O2Pt4Sn6,6,200,0,-6932.227842288333,0.0007931291675049579,0.021861641666666667
O2Pt4Sn6,6,200,0,-6932.228118925,0.0005164925005374243,0.021601970833333334
O2Pt4Sn6,6,200,0,-6932.224759139167,0.0038762783333368134,0.02233758
O2Pt4Sn6,6,200,0,-6932.2286354175,0.0,0.02173304416666667
O2Pt4Sn6,6,200,1,-6932.2284274691665,0.00020794833380932687,0.021743744166666665
O2Pt4Sn6,6,200,2,-6932.2283812,0.0002542175006965408,0.0217726
O2Pt4Sn6,6,300,1,-6931.8872910725,0.34134434499992494,0.03365780166666667
O2Pt4Sn6,6,300,1,-6931.8828830025,0.34575241499987897,0.0331860525
O2Pt4Sn6,6,300,1,-6931.884323215833,0.3443122016669804,0.032786898333333335
O2Pt4Sn6,6,300,3,-6931.877370585833,0.35126483166732214,0.032773110833333334
O2Pt4Sn6,6,300,4,-6931.873199739167,0.35543567833337875,0.0320790525
O2Pt4Sn6,6,300,5,-6931.873576904167,0.3550585133334607,0.03204543416666667
O2Pt4Sn6,6,400,2,-6931.549948995001,0.6786864224995952,0.043090712499999996
O2Pt4Sn6,6,400,2,-6931.545289958333,0.6833454591669579,0.04363225833333333
O2Pt4Sn6,6,400,2,-6931.545953880833,0.6826815366675874,0.042525291666666666
O2Pt4Sn6,6,400,6,-6931.548169736667,0.6804656808335494,0.043755739999999994
O2Pt4Sn6,6,400,7,-6931.5493589416665,0.6792764758338308,0.04304095583333333
O2Pt4Sn6,6,400,8,-6931.546666243333,0.6819691741675342,0.04290947
O2Pt4Sn6,6,500,9,-6931.201313449167,1.0273219683331263,0.05471006583333333
O2Pt4Sn6,6,500,11,-6931.208583378334,1.0200520391663304,0.054961067499999995
O2Pt4Sn6,6,600,13,-6930.855238401667,1.3733970158336888,0.064596315
O2Pt4Sn6,6,600,12,-6930.858553638333,1.370081779166867,0.06508234166666667
O2Pt4Sn6,6,600,14,-6930.8530431125,1.375592305000282,0.06542742333333333
O2Pt4Sn6,6,700,15,-6930.507518667499,1.7211167500008742,0.07586918333333333
O2Pt4Sn6,6,700,16,-6930.508355799167,1.720279618333734,0.07620597583333334
O2Pt4Sn6,6,700,17,-6930.504890385833,1.723745031667022,0.07537717249999999
O2Pt4Sn6,6,800,6,-6930.189543345,2.0390920725003525,0.09161113333333333
O2Pt4Sn6,6,800,18,-6930.187527077501,2.0411083399994823,0.08905211416666665
O2Pt4Sn6,6,800,19,-6930.174758270833,2.0538771466672188,0.09032301
O2Pt4Sn6,6,800,20,-6930.193402896667,2.035232520833233,0.08985139416666667
O2Pt4Sn6,6,900,7,-6929.826234795,2.402400622499954,0.09924126666666666
O2Pt4Sn6,6,900,7,-6929.819660609167,2.408974808333369,0.0994864325
O2Pt4Sn6,6,900,22,-6929.814928287499,2.4137071300010575,0.09887176083333334
O2Pt4Sn6,6,900,23,-6929.826541176666,2.4020942408342307,0.0977740325
O2Pt4Sn6,6,900,21,-6929.836223366667,2.3924120508336273,0.10073002833333333
O2Pt4Sn6,6,1000,25,-6929.465057015,2.7635784025005705,0.10971476833333334
O2Pt4Sn6,6,1000,26,-6929.492503110833,2.7361323066670593,0.1115887075
O2Pt4Sn6,6,1100,9,-6929.115634548333,3.113000869167081,0.12190076999999999
O2Pt4Sn6,6,1100,9,-6929.121211945,3.107423472500159,0.12119837583333333
O2Pt4Sn6,6,1100,9,-6929.111935318334,3.116700099166337,0.12072625416666666
